ID,STATE_NAME,COUNTY
1736,California,Fresno
1776,California,Fresno
1781,California,Fresno
1822,California,Fresno
1852,California,Fresno
1869,California,Fresno
1912,California,Fresno
1914,California,Fresno
1967,California,Fresno
1996,California,Fresno
2055,California,Fresno
2057,California,Fresno
2077,California,Fresno
2083,California,Fresno
2084,California,Fresno
2150,California,Fresno
2175,California,Fresno
2178,California,Fresno
2213,California,Fresno
2220,California,Fresno
2257,California,Fresno
2265,California,Fresno
2356,California,Fresno
2374,California,Fresno
2382,California,Fresno
2473,California,Fresno
2503,California,Fresno
2525,California,Fresno
2565,California,Fresno
2571,California,Fresno
2593,California,Fresno
2611,California,Fresno
2651,California,Fresno
2672,California,Fresno
2698,California,Fresno
2704,California,Fresno
2742,California,Fresno
2798,California,Fresno
2806,California,Fresno
